name,sku,unit,price,currency,category,discountable,description,active,section,imageUrl,sort_group,sort_order
Paquete Futbolero · 50 Personas,T-001,dia,21200,MXN,Paquete de temporada,True,"Incluye: 1 consola análoga de 10 CH, 1 laptop para música, 1 micrófono alámbrico, 1 sistema de audio Lucas Performer 2.1, 1 centro de carga, 1 pantalla de LED de 3 x 2 metros, 1 procesador de LED, 1 tarjeta de LED, 1 base de pantalla, 1 laptop, 1 suscripción de streaming y 1 distribuidor de señal. Nota: No incluye energía eléctrica, personal, fletes, transporte ni viáticos.",True,todos,https://medioangular.com/cotizador/img/PAQUETEFUTBOLERO.png,5,10
Paquete Futbolero · 100 Personas,T-002,dia,41700,MXN,Paquete de temporada,True,"Incluye: 1 consola análoga de 10 CH, 1 laptop para música, 1 micrófono alámbrico, 2 bocinas d&b T10, 2 bocinas d&b Q-SUB, 2 amplificadores d&b D12, 1 centro de carga, 1 pantalla de LED de 5 x 3 metros, 1 procesador de LED, 1 tarjeta de LED, 1 base de pantalla, 1 laptop, 1 suscripción de streaming y 1 distribuidor de señal. Nota: No incluye energía eléctrica, personal, fletes, transporte ni viáticos.",True,todos,https://medioangular.com/cotizador/img/PAQUETEFUTBOLERO.png,5,20
Paquete Futbolero · 200 Personas,T-003,dia,55600,MXN,Paquete de temporada,True,"Incluye: 1 consola, 1 laptop para música, 1 micrófono alámbrico, 6 bocinas d&b T10, 4 bocinas d&b Q-SUB, 2 amplificadores d&b D12, 1 centro de carga, 2 pantallas de LED de 4 x 2.5 metros, 1 procesador de LED, 2 tarjetas de LED, 2 bases de pantalla, 1 laptop, 1 suscripción de streaming y 1 distribuidor de señal.Nota: No incluye energía eléctrica, personal, fletes, transporte ni viáticos.",True,todos,https://medioangular.com/cotizador/img/PAQUETEFUTBOLERO.png,5,30
Sistema de Audio para DJ · 100 Personas,A-025,dia,5800,MXN,Paquete de audio,True,"Sistema de audio d&b  incluye 2 Top puntual , 2 Sub, 2 Amplificadores, Consola 10 ch",True,social,https://medioangular.com/cotizador/img/DJ100PAX.jpeg,10,10
Sistema de Audio para DJ · 200 Personas,A-026,dia,7600,MXN,Paquete de audio,True,"Sistema de audio d&b incluye 2 Top puntual , 4 Sub, 2 Amplificadores, Consola 10 ch",True,social,https://medioangular.com/cotizador/img/DJ200PAX.jpeg,10,20
Sistema de Audio para DJ · 300 Personas,A-027,dia,10400,MXN,Paquete de audio,True,"Sistema de audio d&b  incluye 2 Top puntual , 4 Sub, 2 Outfill  3 Amplificadores, Consola 10 ch",True,social,https://medioangular.com/cotizador/img/DJ300PAX.jpeg,10,30
Sistema de Audio para DJ · 400 Personas,A-028,dia,11000,MXN,Paquete de audio,True,"Sistema de audio d&b incluye 6 Top lineal, 4 Sub, 3 Amplificadores, Consola 10 ch",True,social,https://medioangular.com/cotizador/img/DJ400PAX.jpeg,10,40
Sistema de Audio para DJ · 500 Personas,A-029,dia,12200,MXN,Paquete de audio,True,"Sistema de audio d&b incluye 4 Top lineal, 6 Sub, 3 Amplificadores, Consola 10 ch",True,social,https://medioangular.com/cotizador/img/DJ500PAX.jpeg,10,50
Sistema de Audio · 100 Personas,A-030,dia,5400,MXN,Paquete de audio,True,"Sistema de audio d&b incluye 2 Top puntual , 2 Sub, 2 Amplificadores",True,corporativo,https://medioangular.com/cotizador/img/CORP100PAX.jpeg,10,60
Sistema de Audio · 200 Personas,A-031,dia,7200,MXN,Paquete de audio,True,"Sistema de audio d&b incluye 2 Top puntual , 4 Sub, 2 Amplificadores",True,corporativo,https://medioangular.com/cotizador/img/CORP200PAX.jpeg,10,70
Sistema de Audio · 300 Personas,A-032,dia,10600,MXN,Paquete de audio,True,"Sistema de audio d&b incluye 6 Top lineal, 4 Sub, 2 Amplificadores",True,corporativo,https://medioangular.com/cotizador/img/CORP300PAX.jpeg,10,80
Sistema de Audio · 400 Personas,A-033,dia,13400,MXN,Paquete de audio,True,"Sistema de audio d&b  incluye 6 Top lineal, 4 Sub, 2 frontfill , 3 Amplificadores",True,corporativo,https://medioangular.com/cotizador/img/CORP400PAX.jpeg,10,90
Sistema de Audio · 500 Personas,A-034,dia,18800,MXN,Paquete de audio,True,"Sistema de audio d&b incluye 6 Top lineal, 6 Sub, 2 frontfill , 2 delay , 5 Amplificadores",True,corporativo,https://medioangular.com/cotizador/img/CORP500PAX.jpeg,10,100
Sistema de Audio · 800 Personas,A-035,dia,22600,MXN,Paquete de audio,True,"Sistema de audio d&b incluye 12 Top lineal, 6 Sub, 2 frontfill , 5 Amplificadores",True,corporativo,https://medioangular.com/cotizador/img/CORP800PAX.jpeg,10,110
"Sistema de Audio · 1,000 Personas",A-036,dia,30600,MXN,Paquete de audio,True,"Sistema de audio d&b incluye 12 Top lineal, 12 Sub, 2 frontfill , 8 Amplificadores",True,corporativo,https://medioangular.com/cotizador/img/CORP1000PAX.jpeg,10,120
Sistema de Audio Delay · 100 Personas,A-037,dia,2800,MXN,Paquete de audio,True,"Sistema de audio d&b incluye 2 Top , 1 Amplificador",True,corporativo,https://medioangular.com/cotizador/img/DELAY100PAX.jpeg,10,130
Sistema de Audio Delay Perimetral,A-038,dia,3000,MXN,Paquete de audio,True,"Sistema de audio d&b incluye 4 Top , 1 Amplificador",True,todos,https://medioangular.com/cotizador/img/PERIMETRAL.jpeg,10,140
Sistema de Audio 2.1 HK Nano 300,A-039,dia,1500,MXN,Paquete de audio,True,"Incluye 2 altavoces de fuente puntual, 1 subwoofer y una consola de tres canales integrada en el subwoofer.",True,todos,https://medioangular.com/cotizador/img/nano300.jpeg,10,150
